Updated at 17:45:55;Constituent Name;Constituent RIC;NCAIS;ESG_Grade_01/01/2021;ESG_Grade_01/01/2022;ESG_Grade_01/01/2023;ESG_Grade_01/01/2024;ESG_Score_01/01/2021;ESG_Score_01/01/2022;ESG_Score_01/01/2023;ESG_Score_01/01/2024;Social_Score_01/01/2021;Social_Score_01/01/2022;Social_Score_01/01/2023;Social_Score_01/01/2024;Governance_Score_01/01/2021;Governance_Score_01/01/2022;Governance_Score_01/01/2023;Governance_Score_01/01/2024;Environment_Score_01/01/2021;Environment_Score_01/01/2022;Environment_Score_01/01/2023;Environment_Score_01/01/2024;Controversies_Score_01/01/2021;Controversies_Score_01/01/2022;Controversies_Score_01/01/2023;Controversies_Score_01/01/2024
.SPX;MORGAN STANLEY ORD;MS.N;52;B;B-;B;B;60,51265481;56,73836916;60,10280726;60,10280726;72,47488718;68,9722997;71,02210289;71,02210289;44,93234141;40,52903765;46,26121492;46,26121492;78,77556394;76,33322525;75,50565327;75,50565327;8,333333333;4,6875;11,45833333;11,45833333
.SPX;MSCI ORD;MSCI.N;51;B;B;B;B;60,202477;59,32270603;64,77580848;64,77580848;59,69640489;59,33286643;64,67014389;64,67014389;69,42509906;60,04913277;59,62318519;59,62318519;47,95108506;58,26640679;72,32957874;72,32957874;100;100;100;100
.SPX;MICROSOFT-T ORD;MSFT.OQ;51;A+;A+;A+;A;92,95136845;93,27179422;92,78108196;88,35521984;97,9000101;97,34481835;96,63826236;87,3475387;93,25451917;94,38804971;93,95299744;92,3153841;77,73643165;77,85985478;77,80316068;78,04709038;33,67346939;9,166666667;4,736842105;2,651515152
.SPX;MOTOROLA SOLUTIONS ORD;MSI.N;31-33;A-;A;A-;A-;82,72229009;86,09152195;82,11368951;82,11368951;91,31266334;91,73106005;89,27985438;89,27985438;82,98950096;92,36109343;83,83021901;83,83021901;67,259698;65,18602541;66,57885956;66,57885956;50;63,63636364;70;70
.SPX;M&T BANK ORD;MTB.N;52;B+;B+;A;A;67,32699199;71,80354082;84,49251976;84,49251976;60,74346101;66,09217601;86,54122078;86,54122078;76,57321849;80,39044225;83,13073471;83,13073471;66,88803246;70,00876606;80,84034553;80,84034553;100;100;28,08641975;28,08641975
.SPX;MATCH GROUP ORD SHS;MTCH.OQ;51;D+;C-;C;C+;23,547477;29,51191736;41,36802329;49,10275485;49,34824382;50,79160862;64,63558431;59,72297713;8,394393119;20,04131399;24,90099323;44,63334003;0;0;29,47160579;33,51683289;45,91836735;100;48,94736842;7,196969697
.SPX;METTLER TOLEDO ORD;MTD.N;31-33;B+;B+;A-;A-;70,38517884;70,50801595;78,17430711;78,17430711;61,02376784;61,21426252;73,14245116;73,14245116;85,69946567;82,14385232;88,15806041;88,15806041;63,98140237;71,79574233;70,97757217;70,97757217;100;100;100;100
.SPX;MICRON TECHNOLOGY ORD;MU.OQ;31-33;B+;B+;B+;B+;71,54495836;72,5022035;72,99365404;68,18003098;81,93004722;82,0472359;80,74549989;78,28338866;64,3694308;66,82720763;70,78050292;58,51605385;63,2450675;64,10694718;64,17915859;62,34122846;55,55555556;100;100;30
.SPX;NORWEGIAN CRUISE LINE HOLDINGS LTD (ORDINARY) - CONSOLIDATED ISSUE LISTED;NCLH.N;48-49;B;B+;B+;B+;65,91952828;73,36579121;74,84948237;74,84948237;63,88551422;69,87547318;71,16116329;71,16116329;61,46735617;77,08395062;75,97381381;75,97381381;74,2564096;75,05169969;79,74742368;79,74742368;100;77,5;79,36507937;79,36507937
.SPX;NASDAQ INC ORD;NDAQ.OQ;52;B+;A-;A-;A-;74,22286732;76,28569044;76,77132372;77,66741596;80,57870264;84,52921655;82,43852783;81,16421699;78,92723872;79,87710342;82,03923317;85,56245395;40,65112989;41,11031439;43,25949544;41,50777531;91,66666667;100;65,625;100
.SPX;NORDSON ORD;NDSN.OQ;31-33;C;B;B;B;38,25040772;62,4623391;64,00231176;66,29294964;43,93845944;77,71430992;73,00703565;80,26586246;34,92938303;56,95868817;62,72898925;57,0503918;34,80320513;50,38452455;55,22491924;58,72838012;100;100;100;100
.SPX;NEXTERA ENERGY ORD;NEE.N;22;A-;A-;A-;A-;76,40059238;80,03032627;77,70128398;77,70128398;76,24175677;77,4418399;73,30612593;73,30612593;78,36751936;82,63736483;79,32632506;79,32632506;75,36503903;80,47620492;80,10638068;80,10638068;100;100;1,428571429;1,428571429
.SPX;NEWMONT CORP ORD;NEM.N;21;A;A;A;A;85,17495215;84,84910837;90,34433274;90,34433274;77,97773281;77,92325625;88,27024465;88,27024465;99,45281465;99,05808488;98,77649186;98,77649186;83,44303144;82,85496341;86,83296584;86,83296584;100;75,37313433;74,28571429;74,28571429
.SPX;NETFLIX ORD;NFLX.OQ;51;C-;C-;C;C;26,36748056;26,88335703;40,1877765;40,1877765;29,79406682;28,40927787;54,72405018;54,72405018;26,92901883;27,0744174;28,59339629;28,59339629;14,66011466;21,86653117;37,11122126;37,11122126;19,16666667;20,52631579;3,409090909;3,409090909
.SPX;NISOURCE ORD;NI.N;22;B+;B;B;B;68,48912992;65,59643825;66,65338497;66,65338497;57,76400775;55,08255311;54,46617336;54,46617336;88,63912037;89,79119382;87,27007927;87,27007927;65,83506584;60,52707518;64,90429738;64,90429738;41,66666667;35;100;100
.SPX;NIKE INC -CL B ORD;NKE.N;31-33;B+;B+;B+;B+;71,65246174;71,79037909;70,27562113;71,78489578;72,88300406;81,10868778;81,22950532;85,13830232;66,9907912;46,48297112;38,74352041;39,11144598;75,41851528;84,53017418;88,06627634;84,36855005;10;27,77777778;68,18181818;6,818181818
.SPX;NORTHROP GRUMMAN ORD;NOC.N;31-33;A-;A-;B+;B+;77,63105663;79,21748123;72,90284927;70,83568776;87,80606044;89,67163968;85,28019862;85,88170236;59,40475698;66,27849733;52,28789686;59,92773424;83,67676122;77,5371967;78,13480527;57,89783978;89,47368421;81,25;100;100
.SPX;SERVICENOW ORD;NOW.N;54;C;B-;B-;B-;35,73542085;51,10463975;54,22497991;54,22497991;42,83247994;66,27233817;75,47490531;75,47490531;37,00647765;39,30201618;36,26940509;36,26940509;11,12737671;46,90980621;53,08173973;53,08173973;100;100;76,31578947;76,31578947
.SPX;NRG ENERGY ORD;NRG.N;22;B+;B+;B+;B+;68,62692963;70,03911391;74,32465828;74,32465828;59,19506061;61,87336541;65,38253631;65,38253631;69,84757316;75,12775166;84,03016788;84,03016788;75,12150973;73,29019351;75,45362826;75,45362826;100;100;68,57142857;68,57142857
