Name Tag Score Industry
Eaton ETN 47 "ELQ Electrical Components & Equipment"
Entergy ETR 61 "ELC Electric Utilities"
Etsy ETSY 50 "RTS Retailing"
Evergy EVRG 48 "ELC Electric Utilities"
"Edwards Lifesciences" EW 65 "MTC Health Care Equipment & Supplies"
Exelon EXC 62 "ELC Electric Utilities"
"Expeditors Intl Wash" EXPD NA NA
"Expedia Group" EXPE 37 "TRT Hotels, Resorts & Cruise Lines"
"Extra Space Storage" EXR 46 "REI Equity Real Estate Investment Trusts (REITs)"
"Ford Motor" F 39 "AUT Automobiles"
"Diamondback Energy" FANG 45 "OGX Oil & Gas Upstream & Integrated"
Fastenal FAST 23 "TCD Trading Companies & Distributors"
"Freeport Mcmoran" FCX NA NA
"Factset Research Systems" FDS 42 "FBN Diversified Financial Services and Capital Markets"
Fedex FDX 38 "TRA Transportation and Transportation Infrastructure"
Firstenergy FE 41 "ELC Electric Utilities"
F5 FFIV 30 "CMT Communications Equipment"
Fiserv FI 41 "FBN Diversified Financial Services and Capital Markets"
"Fair Isaac" FICO 24 "SOF Software"
"Fidelity National Info Serv" FIS NA NA
"Fifth Third Bancorp" FITB 51 "BNK Banks"
"Fleetcor Technologies" FLT 28 "FBN Diversified Financial Services and Capital Markets"
Fmc FMC 61 "CHM Chemicals"
"Fox  Class" FOX NA NA
"Fox  Class" FOXA NA NA
"Federal Realty Invs Trust" FRT NA NA
"First Solar" FSLR 50 "SEM Semiconductors & Semiconductor Equipment"
Fortinet FTNT 47 "SOF Software"
"Fortrea Holdings" FTRE NA NA
Fortive FTV 35 "IEQ Machinery and Electrical Equipment"
"General Dynamics" GD 37 "ARO Aerospace & Defense"
"General Electric" GE 52 "IDD Industrial Conglomerates"
"Ge Healthcare Technology" GEHC NA NA
"Gen Digital" GEN 47 "SOF Software"
"Gilead Sciences" GILD 65 "BTC Biotechnology"
"General Mills" GIS 65 "FOA Food Products"
"Globe Life" GL 38 "INS Insurance"
Corning GLW 35 "ITC Electronic Equipment, Instruments & Components"
"General Motors" GM 55 "AUT Automobiles"
"Generac Holdings" GNRC NA NA
"Alphabet   C" GOOG NA NA
Alphabet GOOGL 47 "IMS Interactive Media, Services & Home Entertainment"
"Genuine Parts" GPC NA NA
"Global Payments" GPN 35 "FBN Diversified Financial Services and Capital Markets"
Garmin GRMN 22 "LEG Leisure Equipment & Products and Consumer Electronics"
"Goldman Sachs Group" GS 37 "FBN Diversified Financial Services and Capital Markets"
"Ww Grainger" GWW NA NA
