legalentityidentifier;obligorname
3538005O8WNU39U8NX03;TDK Corp.
X57JK1U580XATGR67572;Rolls-Royce PLC
YEH5ZCD6E441RHVHD759;BMW AG
529900PFO97GCN5SYB55;Flughafen Zurich AG
549300EHF3IW1AR6U008;NOV Inc.
529900A76GOP0PGNHT63;Chubu Electric Power Co. Inc.
549300URVIMVNUT7QT37;International Power PLC
5493008H3828EMEXB082;Anheuser-Busch InBev S.A./N.V.
54930086LM4PIBY9PA50;Thomas & Betts Corp.
5H8RMHHYTWIP1RKLCE38;Linde Finance B.V.
WTV8QGD5UD7MMD4HS345;Linde GmbH
549300KMHPUAQI8VEH90;Electric Power Development Co. Ltd.
KDMDXRWU7UTJ30FC8R59;EMC Corp.
549300TH5Q6VRP8OT012;Ambev S.A.
300300YGQJZMCFMU1894;China Three Gorges Corporation
549300CRVT18MXX0AG93;BP Capital Markets PLC
L2EVHWFHVAQK72TMH265;Georgia-Pacific LLC
FR5LCKFTG8054YNNRU85;AbbVie Inc.
ICE2EP6D98PQUILVRZ91;Becton Dickinson & Co.
J5OIVXX3P24RJRW5CK77;Baxter International Inc.
JWBYHVQVMY66CVCOSO49;Wisconsin Power & Light Co.
2138008M6MH9OZ6U2T68;Compass Group PLC
5RGWIFLMGH3YS7KWI652;Sysco Corp.
3003001C0RO724J15P08;Sinopec Century Bright Capital Investment Limited
549300I04PB7X2824122;CNOOC Petroleum North America ULC
529900GQL5X8H7AO3T64;Simon Property Group, Inc
MR92GTD0MJTTTTQDVG45;Simon Property Group, L.P.
529900OAREIS0MOPTW25;Merck KGaA
988400HIXNKLSIY4ND32;Korea Railroad Corporation
HO1QNWM0IXBZ0QSMMO20;Ralph Lauren Corporation
62QBXGPJ34PQ72Z12S66;Amgen Inc.
MINO79WLOO247M1IL051;Airbus SE
QEKMOTMBBKA8I816DO57;Home Depot Inc.
969500PJMBSFHYC37989;Aeroports de Paris
3SU7BEP7TH9YEQOZCS77;Canadian National Railway Co.
52990093Z5OHD6T7BS47;Geberit AG
549300FGW43XR75F1O70;Wisconsin Gas LLC
549300LMMRSZZCZ8CL11;Union Pacific Corp.
549300E5Y4M86FFRWP82;Union Pacific Railroad Co.
335800ZJKU9GPQRE2U66;Tata Consultancy Services Limited
F14FQJ2EEHW5VPYUHL14;Diamond Offshore Drilling Inc.
549300SULPFDEWWFVD15;Energir Inc.
549300TVKZM22UUX5J37;Energir, L.P.
213800BZ6VW56K2S6677;Jardine Strategic Holdings Ltd.
2549001SP50468BWD892;Singapore Post Ltd.
254900JBO3NPO7NYTJ73;Beijing Infrastructure Investment (Hong Kong) Limited
8WDDFXB5T1Z6J0XC1L66;Target Corp.
CWAJJ9DJ5Z7P057HV541;VF Corp.
213800XCHYNRPAYGXW28;Hongkong Land Holdings Ltd.
254900L5U36F2IV48917;The Hongkong Land Company, Limited
YR6K3WJN0KKLUPZSNL57;Raytheon Co.
529900TUCASM3W86E831;Scentre Group Ltd.
549300SQ859FBKRKSI77;Scentre Group Trust 1
3003001FINCSKKK8V466;Shanghai Electric Holdings Group Co., Ltd.
529900WHVV4GODE91T37;Shanghai Electric Group Company Limited
549300NCQQ9E4O5JX172;Fonterra Co-operative Group Ltd.
529900D6BF99LW9R2E68;SAP SE
529900NNUPAGGOMPXZ31;Volkswagen AG
529900H0BLFJKPAYPC28;Volkswagen Insurance Co. Ltd.
529900RAZGQHX0VFTK05;Volkswagen International Belgium S.A.
549300IM1QSBY4SLPM26;Telenor ASA
529900AKKHCRC09DBC59;Thyssengas Beteiligungs GmbH
D56MRZY2INAN94ZONZ37;Medtronic Inc.
549300GX3ZBSQWUXY261;Medtronic plc
B8PTJH2P0AXSWSMP2136;Stericycle Inc.
549300X54QEYZVDC8R04;Hydro One Inc.
254900N4SLUMW4XUYY11;Tencent Holdings Limited
