lei;rics
549300M0CPXV65RFF271;KTB
635400QLLRDEGTZSVQ37;DMCq.L^C15
8156009C252A56CA6782;NA
529900MX4C6TKOY94O56;NA
549300C3XBVL3X4TME11;AUNA.K
300300C1056431000059;NA
222100I997WK9EUQGD77;NA
254900G5EZJSOD3UKL16;NA
5493008KEVFYPMGTXO33;KOFUBL.MX
549300NML2N2ZNVFG583;NA
213800TRZ88MUVRN4K26;NA
213800LCDPGJ1BI7KX98;NA
213800TWSHPHH7ZH2P97;NA
50670032178JB6H3V269;NA
549300GCRU5QIM9WHM73;NA
2549006XE21BJYYKLT79;2768.HK
213800NL9JYJ21V86593;IBPO.L
549300OOIY8DSLNS9405;NA
IYDOJBGJWY9T8XKCSX06;NA
254900397NMORQEIZA86;EMWP.K
549300VL0F83S4LR4105;NA
549300GFIW2O6KTXP540;ATLS.N^B15
549300UDYBJ7YTTMJP92;NA
5299008W44I8V87F0U52;NA
8RS0AKOLN987042F2V04;NA
549300ZCMGQ2DH2RZB13;NA
549300S5JUSXRHNCHD80;NA
5493007NL8IXOMM2V474;NA
ZD2NBKV6GCC3UMGBM518;NA
5493006FBVCBN6H1JG79;TFCFA.O^C19
6B2PBRV1FCJDMR45RZ53;NA
2221001V14OZZ8CANJ37;NA
52990049OK8CLOVGTY83;NA
5493003BMLTUIEG2LG44;NS
353800WMG1NLGHB7B594;8410.T
5493003YS11LO8YYTJ56;NA
969500R911YSRI5GMV23;NA
B64D6Y3LBJS4ANNPCU93;NA
52990063CVI7GDV4JZ06;0603.HK
549300M5FR3N688XGQ36;FND
549300NS277POYJ63W89;UPLD.O
253400P2KQ47SBHJKV62;NA
529900OMAOLGHE7UML58;NA
969500HTEQ8AOPOXRU05;NA
A23RUXWKASG834LTMK28;ALV
5299004LW4QWGZUB8Y96;BX
549300WMLEZE5UTKVI49;6008.TWO^A13
549300KPTPKKFVKB0065;NA
549300NB7FE83IH6BW96;NBKK.KW
529900HWROSNW89Z7C14;MSNG.MM
213800USCE9Y111R4656;ETI.LG
KPV3MT2I1BUUZ4XG0W74;NA
529900WS2E20BA5J4L49;EDNn.MI
XCJQ23OWIJNLHN7RQC93;NA
549300DOHUCG0BDG1K90;NA
259400GGL5VECMUS2X04;NA
213800V3K259FGE7VX47;NA
549300X0MVH42CY8Q105;GB0053866.L^D02
549300SAZRUMYKDJBY14;NA
549300648QS85T0XSH18;CABO.K
549300O2G0VI2955B626;NA
254900BTWLCJREAX0N31;NA
549300WXUMS9P7YB8565;NA
5299009S103PRRA1CD19;NA
5299006ZIILJ6VJVSJ32;TLXGn.DE
FE70I3MHDCWOZWK19W48;8359.T
F3TJNSIZRGXRH8GEIK79;PSOKM.PK^K11
TTB80JG2E5GBV4FLOX08;NA
300300LW0MCUUE4T5727;NA
549300U20A1MVRZ8KH55;NA
5493001MYDPJOEXS5C94;NA
5493007DQBDL12FEDK63;NA
549300G9L0I436CFM593;NA
529900DBKUI06S4XAS60;NA
549300RCBFWIRX3HYQ56;REGN.O
213800T66DRTE6O6BV87;PGS.OL
969500590VBI4V4E9770;NA
5493007Z5J8Z2TA76376;SNCR.O
549300ZHLQ42NXDETL24;FCF
789000KAIHOLSQKQ9858;VAKBN.IS
5299009KFM6C8JYR3G51;NA
529900LVRQMD6PSRZA32;FERREYC1.LM
549300PD0IHUIB4I9X69;FINAMEXO.MX
549300V4BIY04K1FQ760;WOOF.O^I17
894500ZRIX9K13RHXR17;TEL
529900OPEDQJAXAQT146;NA
549300ZFEEJ2IP5VME73;STT
TXDSU46SXBWIGJ8G8E98;NA
529900FW2HOCU1QBTN33;NA
529900EBYBAMKPTOSI76;NA
549300KT14L1YCKCEN34;NA
213800NYDTVQM4SDUD67;HSBK.KZ
959800SNQAKVSTR20G68;NA
9695004PBOK18LJS6012;NA
549300XQFOZP1IKPOC33;NA
TADWCGP8SCZ6QVQHFK43;NA
T6FIZBDPKLYJKFCRVK44;NA
SHVRXXEACT60MMH07S24;PWR
784F5XWPLTWKTBV3E584;GS
549300HXDWI0LATTX840;OGS
549300WI524AL577IX21;HBM.TO
969500MMPQVHK671GT54;AIRP.PA
5493003ITP0M5GD4XN85;NA
789000KWOK751Q6R8875;SISE.IS
549300DG6RR0NQSFLN74;FLT
300300TWTZYZK4ZONP37;600548.SS
5493008VBQD43X8QCS14;NA
549300CJMQNCA0U4TS33;WLN.PA
254900Y8NKGV541U8Q32;NA
8156009D23D0FDC70C93;ITAI.MI^J16
549300U5YQ9T9N3SZ021;PNN.N^E05
529900C7LGUV8N5BG037;NA
81560086FD3AF8E5EA26;NA
969500WAVZQCJJI35T98;NA
579100KKDBKJFDKKD024;BBAR.BA
213800S3UBRZI6VHX319;NA
549300ETD0H0RPH2C868;NA
54930007KH8KCGJ4YE72;CURO.K
54930005OUP720S5U385;RDN
549300FGSGT5QIJPPO24;MIC_pa.TO^A08
549300OF70FSEUQBT254;BXP
9884000ZF26VNJBWSJ91;005830.KS
